sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
-124.0,-263.0,-123.0,-43.0,,-16.0,-422.0,-72.0,,
-116.0,-192.0,-130.0,-93.0,,-34.0,-170.0,-689.0,,
-82.0,-70.0,-88.0,-174.0,,-9.0,-25.0,-617.0,,
-51.0,37.0,-116.0,-250.0,,83.0,239.0,-1520.0,,
-13.0,103.0,-37.0,-299.0,,105.0,560.0,-4332.0,,
-20.0,172.0,-70.0,-333.0,,52.0,868.0,-5312.0,,
-32.0,155.0,-110.0,-325.0,,-10.0,1019.0,-4484.0,,
-61.0,95.0,-51.0,-309.0,,-119.0,931.0,-2756.0,,
-95.0,64.0,-19.0,-290.0,,60.0,749.0,631.0,,
-117.0,41.0,-5.0,-256.0,,160.0,602.0,3566.0,,
-123.0,83.0,-14.0,-190.0,,225.0,436.0,5391.0,,
-99.0,145.0,-17.0,-121.0,,123.0,166.0,5349.0,,
-105.0,153.0,-76.0,-77.0,,0.0,-31.0,3525.0,,
-70.0,118.0,-184.0,-76.0,,93.0,-148.0,735.0,,
-30.0,51.0,-182.0,-105.0,,121.0,-218.0,-1049.0,,
-20.0,-45.0,-131.0,-128.0,,214.0,-260.0,-1090.0,,
-12.0,-155.0,-170.0,-186.0,,306.0,-208.0,-1969.0,,
-3.0,-264.0,-98.0,-249.0,,434.0,-61.0,-2520.0,,
28.0,-293.0,-99.0,-270.0,,379.0,36.0,-2937.0,,
38.0,-289.0,-107.0,-237.0,,492.0,138.0,-3294.0,,
36.0,-288.0,-78.0,-158.0,,700.0,166.0,-2313.0,,
15.0,-208.0,-95.0,-96.0,,730.0,196.0,-1965.0,,
1.0,-95.0,-49.0,-20.0,,724.0,344.0,-1786.0,,
11.0,-14.0,-74.0,21.0,,488.0,490.0,-667.0,,
-2.0,15.0,-14.0,40.0,,388.0,532.0,1356.0,,
-25.0,11.0,-81.0,77.0,,340.0,464.0,3296.0,,
-46.0,-1.0,-127.0,71.0,,354.0,478.0,3621.0,,
